path	classification
docs/ANTIGRAVITY_BUILD_PROMPT.md	general
docs/AUDIT_REPORT_2026-02-27.md	general
docs/AUDIT_REPORT_2026-04-05.md	general
docs/CLEAN_BUILD_SPEC.md	general
docs/COMPONENT_LIBRARY_README.md	general
docs/HOME_DATA_INCIDENT_REPORT_2026-02-28.md	general
docs/REQUIRED_SCREENS.md	general
docs/SCREEN_ALIGNMENT_AUDIT_2026-02-28.md	general
docs/TIIZI_TECHNICAL_SPECIFICATION_CLEAN_BUILD.md	general
docs/architecture/challenge-architecture.md	challenges
docs/architecture/challenge-data-model.md	challenges
docs/architecture/challenge-engine-spec.md	challenges
docs/architecture/wellness-activity-framework.md	wellness
docs/input/ISOMETRIC-EXERCISES-CONTENT-DETAIL.md	fitness
docs/manual-tests/pre-beta-final-manual-qa-matrix.md	general
docs/manual-tests/pre-beta-known-issues.md	general
docs/reports/WELLNESS_ACTIVITY_CONTENT_AUDIT.md	wellness
docs/reports/auth-login-failure-review-2026-06-05.md	identity/onboarding
docs/reports/challenge-creation-and-runtime-engine-audit.md	challenges
docs/reports/challenge-creation-architecture-audit.md	challenges
docs/reports/challenge-feature-parity-master.md	challenges
docs/reports/fitness-activity-content-audit.md	fitness
docs/reports/group-detail-focus-enhancement.md	groups
docs/reports/knowledge-catalogue/Fitness_Knowledge_Production.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase-3A-12_Tiizi AI_Recommendation_Decision_Framework.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_3A_10_Tiizi_Knowledge_Graph_Relationship_Framework.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_3A_11_Tiizi_Knowledge_Graph_Ontology_v2.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_3A_5_Tiizi_Knowledge_Ownership_Entity_Bounda.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_3A_6 Canonical_Fitness_Rationalisation_Stand.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_3A_6A_Canonical_Taxonomy_Freeze_Standard_v2.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_3A_7_Canonical_Fitness_Knowledge_Catalogue.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_3A_8_Canonical_Exercise_Knowledge_Specification.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_3A_9_Exercise_Authoring_Standards_Content_Style_Guide_v2.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_4 0A_Knowledge_Object_Lifecycle_Standard_v2.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_4 0B_Reference_Knowledge_Asset_001.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_4 0C_Knowledge_Capability_Layer.md	knowledge/governance
docs/reports/knowledge-catalogue/Phase_4 0_Tiizi Reference_Knowledge_Object.md	knowledge/governance
docs/reports/knowledge-catalogue/RKA-001_Push-up.md	knowledge/governance
docs/reports/knowledge-catalogue/Stage_4_Knowledge_Production_Programme.md	knowledge/governance
docs/reports/knowledge-catalogue/TIIZI_V2_WELLNESS_CATALOGUE_RATIONALISATION_MATRIX.md	knowledge/governance
docs/reports/knowledge-catalogue/Tiizi_Canonical_Exercise_Families_v2 2.md	knowledge/governance
docs/reports/knowledge-catalogue/Tiizi_Challenge_Behaviour Framework_v2.md	knowledge/governance
docs/reports/knowledge-catalogue/Tiizi_Challenge_Compatibility_Matrix_v2d.md	knowledge/governance
docs/reports/knowledge-catalogue/Tiizi_Exercise_Family_Specification_v2.md	knowledge/governance
docs/reports/knowledge-catalogue/Tiizi_Fitness_Wellness_Challenge_Knowledge_Model_v2.md	knowledge/governance
docs/reports/knowledge-catalogue/Tiizi_Knowledge_Catalogue Specification.md	knowledge/governance
docs/reports/knowledge-catalogue/Tiizi_Knowledge_Governance_Framework _v2.md	knowledge/governance
docs/reports/knowledge-catalogue/Tiizi_Unified_Taxonomy_Controlled_Dictionaries_v2.md	knowledge/governance
docs/reports/knowledge-catalogue/phase-3a-4-duplicate-and-overlap-signals.md	knowledge/governance
docs/reports/knowledge-catalogue/phase-3a-4-fitness-source-register.md	knowledge/governance
docs/reports/knowledge-catalogue/phase-3a-4-legacy-fitness-catalogue-discovery-report.md	knowledge/governance
docs/reports/member-app-pilot-readiness-audit-2026-06-05.md	general
docs/reports/member-phase-10a-pilot-qa-readiness-audit.md	general
docs/reports/member-phase-10b-p0-data-index-readiness.md	general
docs/reports/member-phase-10b-p1-group-member-count-cleanup.md	groups
docs/reports/member-phase-10b-p2-challenge-creation-consistency.md	challenges
docs/reports/member-phase-10b-p3-home-performance.md	general
docs/reports/member-phase-10b-p4-ux-polish.md	general
docs/reports/member-phase-10c-change-log.md	general
docs/reports/member-phase-10c-p0-production-readiness.md	general
docs/reports/member-phase-10c-p2-authenticated-smoke-test.md	identity/onboarding
docs/reports/member-phase-10c-p3a-pilot-fixes.md	general
docs/reports/member-phase-10c-p3b-activation-auth-ux.md	identity/onboarding
docs/reports/member-phase-10c-p3b-auth-onboarding-ux.md	identity/onboarding
docs/reports/member-phase-10c-p3c-remaining-smoke-blockers.md	general
docs/reports/member-phase-10c-p4a-points-allocation-audit.md	general
docs/reports/member-phase-10c-p4b-scoring-engine-foundation.md	general
docs/reports/member-phase-10c-p4c-client-logging-points-cleanup.md	general
docs/reports/member-phase-10c-p4d-server-owned-logging-scoring.md	general
docs/reports/member-phase-10c-p4e-leaderboard-scoring.md	general
docs/reports/member-phase-10c-p4f-scoring-ui-transparency.md	general
docs/reports/member-phase-10c-p4g-scoring-deployment-readiness.md	general
docs/reports/member-phase-10c-p4h-leaderboard-scoring-backfill.md	general
docs/reports/member-phase-10c-p4i-direct-logging-completion-guard.md	general
docs/reports/member-phase-10c-p4j-final-scoring-smoke-test.md	general
docs/reports/member-phase-10c-p4k-scoring-copy-alignment.md	general
docs/reports/member-phase-10c-p5-challenge-system-consistency-audit.md	challenges
docs/reports/member-phase-10c-p5a-lifecycle-display-alignment.md	general
docs/reports/member-phase-10c-p5b-participant-count-integrity.md	general
docs/reports/member-phase-10c-p5c-challenge-discovery-navigation.md	challenges
docs/reports/member-phase-10c-p5c-final-browse-permission-audit.md	general
docs/reports/member-phase-10c-p5f-full-challenge-system-audit.md	challenges
docs/reports/member-phase-10c-p5g-date-safety-log-gating.md	general
docs/reports/member-phase-10c-p5h-trending-visibility-alignment.md	general
docs/reports/member-phase-10c-p5i-completed-challenge-experience.md	challenges
docs/reports/member-phase-10c-p5j-membership-privacy.md	general
docs/reports/member-phase-10c-p5k-final-challenge-smoke-test.md	challenges
docs/reports/member-phase-10c-p5l-completion-and-group-context-fix.md	groups
docs/reports/member-phase-10c-p5l-p5m-audit.md	general
docs/reports/member-phase-10c-p5m-private-group-discovery.md	groups
docs/reports/member-phase-10c-p5n-participant-count-integrity.md	general
docs/reports/member-phase-10c-p5o-logging-scoring-completion-audit.md	general
docs/reports/member-phase-10c-p5p-wellness-permission-scoring-normalization.md	wellness
docs/reports/member-phase-10c-p5q-scoring-model-consolidation-audit.md	general
docs/reports/member-phase-10c-p5r-remove-legacy-points-ui.md	general
docs/reports/member-phase-10c-p5s-live-challenge-logging-smoke-test.md	challenges
docs/reports/member-phase-10c-p5t-p5s-findings-fix.md	general
docs/reports/member-phase-10c-p5u-wellness-logging-permission-fix.md	wellness
docs/reports/member-phase-10c-p5v-wellness-permission-root-cause-audit.md	wellness
docs/reports/member-phase-10c-p5w-wellness-runtime-diagnostics.md	wellness
docs/reports/member-phase-10c-p5x-wellness-batch-permission-fix.md	wellness
docs/reports/member-phase-10c-p5z-independent-wellness-logging-audit.md	wellness
docs/reports/member-phase-10c-p5za-remove-wellness-user-stats-write.md	wellness
docs/reports/member-phase-10c-p6b-completion-model-fix.md	general
docs/reports/member-phase-10c-p6c-daily-target-scoring-model.md	general
docs/reports/member-phase-10c-p6d-percentage-equivalent-points.md	general
docs/reports/member-phase-10c-p6e-remove-bonus-scoring.md	general
docs/reports/member-phase-10c-p6g-full-challenge-system-user-flow-audit.md	challenges
docs/reports/member-phase-10c-p6h-broad-regression-baseline-audit.md	general
docs/reports/member-phase-10c-p6h-crit3-completion-scoring-template-alignment.md	general
docs/reports/member-phase-10c-p6h-crit3-regression-audit-phase3b.md	general
docs/reports/member-phase-10c-p6h-crit3-regression-audit.md	general
docs/reports/member-phase-10c-p6h-crit3-step1-totalactivities-guard.md	general
docs/reports/member-phase-10c-p6h-crit3-step2-category-a-membership-repair.md	general
docs/reports/member-phase-10c-p6h-crit3-step3a-challenge-detail-cta-fix.md	challenges
docs/reports/member-phase-10c-p6h-crit3-step3b-challenge-detail-redesign.md	challenges
docs/reports/member-phase-10c-p6h-task1-verification-and-fix.md	general
docs/reports/member-phase-10c-p6h-task1d-lifecycle-browse-alignment.md	general
