inventoryRowId,legacyRecordId,legacyName,sourceLocation,sourceSymbolOrCollection,sourceType,currentEntityType,currentStatus,currentCategory,currentSubcategory,currentMetrics,currentUnits,currentChallengeTypes,currentWorkoutUsage,currentContentAvailable,duplicateCandidateGroup,runtimeReachability,evidenceReference,notes
"FIT-LEG-0001","plank-forearm-plank","Plank (Forearm Plank)","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","candidate-plank-generic","seed-to-active-runtime","catalogExercises_CLEAN.json:4","difficulty=Beginner; movementType=isometric; holdBased=true"
"FIT-LEG-0002","side-plank-left","Side Plank Left","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:91","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0003","side-plank-right","Side Plank Right","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:178","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0004","kneeling-side-plank-left","Kneeling Side Plank Left","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:265","difficulty=Beginner; movementType=isometric; holdBased=true"
"FIT-LEG-0005","kneeling-side-plank-right","Kneeling Side Plank Right","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:351","difficulty=Beginner; movementType=isometric; holdBased=true"
"FIT-LEG-0006","leg-up-side-plank-left","Leg Up Side Plank Left","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:437","difficulty=Advanced; movementType=isometric; holdBased=true"
"FIT-LEG-0007","leg-up-side-plank-right","Leg Up Side Plank Right","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:524","difficulty=Advanced; movementType=isometric; holdBased=true"
"FIT-LEG-0008","left-side-plank-with-arm-raised","Left Side Plank with Arm Raised","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:611","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0009","right-side-plank-with-arm-raised","Right Side Plank with Arm Raised","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:697","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0010","side-plank-with-left-leg-raised","Side Plank with Left Leg Raised","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:783","difficulty=Advanced; movementType=isometric; holdBased=true"
"FIT-LEG-0011","side-plank-with-right-leg-raised","Side Plank with Right Leg Raised","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:869","difficulty=Advanced; movementType=isometric; holdBased=true"
"FIT-LEG-0012","knee-plank","Knee Plank","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:955","difficulty=Beginner; movementType=isometric; holdBased=true"
"FIT-LEG-0013","straight-arm-knee-plank","Straight Arm Knee Plank","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1040","difficulty=Beginner; movementType=isometric; holdBased=true"
"FIT-LEG-0014","straight-arm-plank-high-plank","Straight Arm Plank (High Plank)","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1125","difficulty=Beginner; movementType=isometric; holdBased=true"
"FIT-LEG-0015","wide-arm-plank","Wide Arm Plank","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1211","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0016","plank-with-left-arm-lift","Plank with Left Arm Lift","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1296","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0017","plank-with-right-arm-lift","Plank with Right Arm Lift","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1391","difficulty=Intermediate; movementType=isometric; holdBased=true"
